a	N	a.	N_odd	EMPH		x	
ai	V	ai.	V_even	пить	drink	x	
aj	V	aj.	V_odd	выпить	drink	x	
ajt	V	ajt.	V_odd	пить	drink	x	
ake	N	ake.	N_even	дед	grandfather	x	
akw	N	akw.	N_odd	Один		x	
akw	N	akw.	N_odd	ночь	night	x	
akw	N	akw.	N_odd	одинг		x	
akw	N	akw.	N_odd	одна	one	x	
akwa	N	akwa.	N_even	один	one	x	
akwa	N	akwa.	N_even	тётя	aunt	x	
akwaiɣ	N	akwaiɣ.	N_odd	каждого		x	
akwat	N	akwat.	N_even	вместе	together	x	
ala	N	ala.	N_even	верх	top	x	
ala	N	ala.	N_even	поверхность	surface	x	
ali	V	ali.	V_even	южный	southern	x	
aliɕ	V	aliɕ.	V_even	убить	kill	x	
alm	V	alm.	V_odd	поднять	lift	x	
alma	V	alma.	V_even	поднять	lift	x	
almpal	N	almpal.	N_even	за	behind	x	
alpəl	ADJ	alpəl.|alpl.	ADJ_even	утренний	morning	x	
alpəl	N	alpəl.|alpl.	N_even	утро	morning	x	
am	N	am.	N_odd	2SG		x	
am	N	am.	N_odd	Q		x	
aman	N	aman.	N_even	Q		x	
aml	V	aml.	V_odd	ASP		x	
amman	N	amman.	N_even	Q		x	
an'	N	an'.	N_odd	Сейчас		x	
an'	N	an'.	N_odd	сестра	sister	x	
anja	N	anja.	N_even	Анья		x	
anə	N	anə.	N_even	чашка	cup	x	
apəɣ	N	apəɣ.|apɣ.	N_even	внук	grandson	x	
apɣ	N	apɣ.	N_odd	внук	grandson	x	
ar	ADJ	ar.	ADJ_odd	гладкий	smooth	x	
art	V	art.	V_odd	способ	way	x	
as	N	as.	N_odd	отверстие	hole	x	
ast	V	ast.	V_odd	кончить	finish	x	
at	N	at.	N_odd	собирать	gather	x	
at=	X	at.	X_odd	NEG	NEG	x	
awi	N	awi.	N_even	дверь	door	x	
axtas	N	axtas.	N_even	камень	stone	x	
aŋkal	N	aŋkal.	N_even	ствол	trunk	x	
aŋkwal	N	aŋkwal.	N_even	пень	stump	x	
aŋkwal	N	aŋkwal.	N_even	ствол	trunk	x	
aŋkwal	N	aŋkwal.	N_even	столб	pole	x	
aɕ	N	aɕ.	N_odd	отец	father	x	
aɣi	N	aɣi.	N_even	девушка	girl	x	
aɣə	N	aɣə.	N_even	девушка	girl	x	
ekwa	N	ekwa.	N_even	жена	wife	x	
ekwa	N	ekwa.	N_even	женщина	woman	x	
el	N	el.	N_odd	далеко	far	x	
ela	N	ela.	N_even	вперёд	forward	x	
ela	N	ela.	N_even	далеко	far	x	
eli	N	eli.	N_even	далеко	far	x	
elm	N	elm.	N_odd	EMPH		x	
elmxolas	N	elmxolas.	N_odd	человек	person	x	
elumxolas	N	elumxolas.	N_even	человек	person	x	
ent	N	ent.	N_odd	опоясать	gird	x	
ep	N	ep.	N_odd	воздух	air	x	
er	N	er.	N_odd	момент	moment	x	
er	N	er.	N_odd	надо	is.needed	x	
er	V	er.	V_odd	надлежать	be.needed	x	
er	V	er.	V_odd	надо	is.needed	x	
er	V	er.	V_odd	нуждаться	need	x	
ert	N	ert.	N_odd	когда	when	x	
ert	N	ert.	N_odd	момент	moment	x	
ert	N	ert.	N_odd	раз	time	x	
ertal	ADJ	ertal.	ADJ_even	неприятный	unpleasant	x	
erəɣ	N	erəɣ.|erɣ.	N_even	песня	song	x	
